wallet,Risk_Score,portfolio_value_usd,SOL_balance,Farming_Attempts,Total_Tokens,Farming_Ratio_Percentage,Avg_Risk_Last_10_Tokens,Avg_MC_Last_10_Tokens,Winrate,ROI,ROI_1d,Win_Rate_1d,ROI_7d,Win_Rate_7d,ROI_30d,Win_Rate_30d,Realized_Gains,Unrealized_Gains,Average_Holding_Time_min,Avg_Buy_Size,Avg_Profit_Per_Trade_%,Avg_Loss_Per_Trade_%
haAFWp35ubYHMzCutTHNw7YM1s3Adgfs42NQtAGLBSB,13.30,98156.58,0.0000,2,182,1.10,2.80,3940438.68,52.75,0.22,199.60,75.00,1210.20,70.00,139.01,60.71,1063.24,-944.05,4156.44,57.90,17.97%,-36.49%
Ek4xJ3RpXuC6giQ9dZM87AZoAuwFXLEBBFxrAdTYYubm,16.55,118982.29,0.0000,5,235,2.13,3.70,3180478.59,62.55,1.67,45.15,60.00,180.86,65.62,100.00,62.82,1394.89,1.12,1938.05,87.58,-,-
8Fd3ZH6T3JbCrisK3L7mBTzBknguJWAmNwAueFwTZwrj,17.72,94864.98,0.0000,0,491,0.00,3.90,1720035.75,54.18,3.84,9.32,67.86,90.10,70.65,100.00,54.18,5455.52,-414.93,3431.95,55.75,-,-
4WRjatuosdsSEG37WNWVaSwEgevo3TNbbZVKeoX27WcY,18.15,150818.41,0.0000,0,154,0.00,0.40,3993029.98,64.29,1.21,2.79,60.87,15.26,67.27,353.36,63.12,17369.09,-509.57,46917.13,184.09,2.60%,-3.18%
6ng6sno6FDVwMCybSif5jiCfvNdqnnGFENsvLXJubMK,19.15,103017.32,0.0000,2,976,0.20,0.80,27306307.82,48.67,0.54,8.16,52.63,33.49,51.28,53.43,48.54,1337.52,-204.74,24568.78,21.22,8.32%,-8.57%
5NgktpoFVbYKERTCcs9hPMX8L4mSWAaXjhmGHFhyk7AN,20.65,182011.42,0.0000,7,117,5.98,1.30,3987648.29,47.01,0.43,16.94,50.00,937.38,71.43,130.95,65.67,2781.44,-750.01,6671.87,147.26,14.66%,-8.07%
93U65rT9tdPCwzpXVp4o6FUax7w4nmxtat44nmZtqV3x,21.00,1885966.23,477.0181,0,25,0.00,0.00,1707541998.93,64.00,0.79,0.57,60.00,186.13,75.00,509.96,72.22,60090.14,-766.73,166860.54,525.04,20.42%,-10.84%
HRwEaH9hnjZBymd2tniQVJ2kA2sfYvmJJSqpxRsiSDV1,21.21,86683.05,0.0000,0,558,0.00,1.00,11183591.35,51.97,0.97,0.00,0.00,6.03,71.43,57.59,55.00,5631.18,-959.89,20815.25,94.53,11.59%,-8.47%
DSHuLj2jEDjBNG2QN4bzWDJtZyjR6JtD6JvbCDTUKgb8,21.30,75295.57,0.0000,9,476,1.89,0.90,9715769.56,51.68,0.66,0.88,44.44,10.04,64.71,43.14,65.48,1733.49,-239.65,15311.99,51.56,6.27%,-9.32%
6DPFQnvyRFTZoABDAPg6VTJXAVWnNFUEesL9UHbwcrpw,21.47,56526.51,0.0000,5,496,1.01,0.90,4607620.07,53.83,1.56,0.26,33.33,3.78,74.42,9.22,67.06,18908.79,3083.40,59472.26,172.15,10.44%,-8.43%
7LYKku8oJFZCVkVqzocti5nWKf5VLtYycUihBRA94zhq,22.93,41290.21,0.0000,0,573,0.00,3.90,7485384.41,57.59,2.23,1.11,100.00,2.73,84.62,0.93,52.94,8703.78,-119.27,19785.68,115.43,9.16%,-8.16%
4WwS74Cr9QbhFybkMbzeQuKtX1Vzz8KGMaFJqgp33XnF,22.93,248686.88,0.0000,20,835,2.40,0.80,22112849.13,52.22,0.75,3.11,63.16,9.74,73.33,110.48,55.46,2526.07,-480.39,17729.80,48.44,8.46%,-12.49%
BHzZ2MLGTEqiN4qrXML6Jv8zgYy73pvHTFTkj7M6n1g4,23.11,40018.53,0.0000,23,1740,1.32,1.70,7670884.82,53.62,0.85,2.68,54.55,11.21,58.82,32.98,51.08,4786.83,-235.26,26184.77,31.47,15.69%,-13.49%
3xBmQQijfUghKXmnvjUKFEwrobxV2gmz2mYvFPoLoG4C,23.22,131593.75,0.0000,4,133,3.01,1.90,5294688.88,66.17,3.05,3.19,50.00,18.17,68.18,284.14,71.26,2718.93,-608.75,7046.13,69.87,14.63%,-13.03%
92tXwQBMho4GrobeFCKRr7LVezqQWWmythHYDaQUjRy9,23.23,207523.87,0.0000,5,376,1.33,2.60,9974762.67,45.21,0.47,1.12,35.71,50.74,33.33,163.62,53.40,1472.23,-327.80,14379.49,124.13,11.39%,-13.21%
75CSnii6XhWRAyJ2qJ67nUG7kfNBPts2tMEtB28TSon3,23.60,32525.67,0.0000,0,138,0.00,0.40,12237468.28,55.07,1.93,0.15,70.00,0.23,90.00,1.38,66.67,108488.16,3441.29,283148.71,896.28,7.31%,-5.30%
Cf2pYQRMAuYYA6TXrXV2GUZh5WTRvLcpsXbx5rsfd67E,23.87,349863.59,0.0000,21,1682,1.25,3.00,6877206.61,51.37,0.34,4.38,75.00,10.12,64.38,160.74,57.91,3192.11,-1161.22,7333.72,66.73,13.57%,-21.73%
9kRu96sXUXHCoqYtBVHJxnNkqnKUYM7iGJ7caZC5fW8H,24.35,306164.65,0.0000,0,141,0.00,0.90,5732623.75,83.69,50.70,0.35,88.89,4.58,87.10,54.88,92.73,1148692.17,85758.87,45647.66,1445.90,71.23%,-29.55%
2vnCZE6MN6pZRwFT9XhL2vL4MAWa2h5pzZaGvBzV6sh9,24.47,222330.21,0.0000,13,853,1.52,1.30,10587000.64,55.45,1.01,0.73,55.00,10.34,50.00,53.08,55.10,5891.22,-914.17,16622.65,39.82,4.92%,-7.00%
643uF1JrLeQ6xSyYzC1z44vreuCAXAZBxWauLuL9B5Lo,24.55,1085189.91,0.0000,175,2555,6.85,2.10,7274015.42,53.35,0.23,9.77,76.00,30.74,67.23,76.87,58.36,6102.63,-3255.65,7791.18,64.45,11.81%,-15.19%
C72JGSF1JcWUWxDuawUYPPA1V6KALeE6Vi41AhtdCyGc,24.57,188585.89,0.0000,2,746,0.27,2.20,31252220.65,49.60,1.00,3.67,69.23,17.86,50.00,121.78,50.86,5895.67,-239.12,14010.93,88.04,14.09%,-17.93%
